"","Year   ","Articles"
"1","1993",1
"2","1994",1
"3","1996",2
"4","1997",1
"5","1998",3
"6","1999",1
"7","2000",3
"8","2001",7
"9","2002",5
"10","2003",5
"11","2004",6
"12","2005",8
"13","2006",10
"14","2007",5
"15","2008",15
"16","2009",20
"17","2010",31
"18","2011",50
"19","2012",40
"20","2013",62
"21","2014",56
"22","2015",78
"23","2016",93
"24","2017",115
"25","2018",130
"26","2019",158
"27","2020",156
"28","2021",240
"29","2022",229
"30","2023",212
