"","Sources       ","Articles"
"68","2016 IEEE WINTER CONFERENCE ON APPLICATIONS OF COMPUTER VISION (WACV 2016)                                           "," 3"
"69","2019 IEEE INTERNATIONAL CONFERENCE ON IMAGE PROCESSING (ICIP)                                                        "," 3"
"70","2020 IEEE INTERNATIONAL CONFERENCE ON IMAGE PROCESSING (ICIP)                                                        "," 3"
"71","2022 18TH IEEE INTERNATIONAL CONFERENCE ON ADVANCED VIDEO AND SIGNAL BASED SURVEILLANCE (AVSS 2022)                  "," 3"
"72","2022 ACM/IEEE 44TH INTERNATIONAL CONFERENCE ON SOFTWARE ENGINEERING: COMPANION PROCEEDINGS (ICSE-COMPANION 2022)     "," 3"
"73","2022 IEEE/RSJ INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS (IROS)                                      "," 3"
"74","2023 15TH INTERNATIONAL CONFERENCE ON QUALITY OF MULTIMEDIA EXPERIENCE QOMEX                                         "," 3"
"75","2023 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION (ICRA 2023)                                            "," 3"
"76","2023 IEEE/CVF WINTER CONFERENCE ON APPLICATIONS OF COMPUTER VISION (WACV)                                            "," 3"
"77","ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS                                             "," 3"
"78","ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS 34 (NEURIPS 2021)                                                  "," 3"
"79","APPLIED INTELLIGENCE                                                                                                 "," 3"
"80","CHINA COMMUNICATIONS                                                                                                 "," 3"
"81","COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING                                                                  "," 3"
"82","CVPR: 2009 IEEE CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION VOLS 1-4                                       "," 3"
"83","ELECTRIC POWER SYSTEMS RESEARCH                                                                                      "," 3"
"84","GEOPHYSICAL RESEARCH LETTERS                                                                                         "," 3"
"85","IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING                                     "," 3"
"86","IEEE JOURNAL ON EMERGING AND SELECTED TOPICS IN CIRCUITS AND SYSTEMS                                                 "," 3"
"87","IEEE SIGNAL PROCESSING LETTERS                                                                                       "," 3"
"88","IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS                                                            "," 3"
"89","INTELLIGENT ROBOTS AND COMPUTER VISION XXIX: ALGORITHMS AND TECHNIQUES                                               "," 3"
"90","INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS                                                  "," 3"
"91","INTERNATIONAL JOURNAL OF ADVANCED ROBOTIC SYSTEMS                                                                    "," 3"
"92","INTERNATIONAL JOURNAL OF DISTRIBUTED SENSOR NETWORKS                                                                 "," 3"
"93","INTERNATIONAL JOURNAL OF REMOTE SENSING                                                                              "," 3"
"94","ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION                                                                       "," 3"
"95","JOURNAL OF ATMOSPHERIC AND SOLAR-TERRESTRIAL PHYSICS                                                                 "," 3"
"96","JOURNAL OF ELECTRONIC IMAGING                                                                                        "," 3"
"97","JOURNAL OF GEOPHYSICAL RESEARCH-SPACE PHYSICS                                                                        "," 3"
"98","MATHEMATICAL PROBLEMS IN ENGINEERING                                                                                 "," 3"
"99","MATHEMATICS                                                                                                          "," 3"
"100","NEURAL PROCESSING LETTERS                                                                                            "," 3"
