"","Paper         ","DOI","TC","TCperYear","NTC"
"55","SCHNEIDER N, 2015, ASTRON ASTROPHYS                                                                ","10.1051/0004-6361/201423569                    ","  91","  9.10"," 2.013"
"56","MAN HK, 2011, CEMENT CONCRETE COMP                                                                 ","10.1016/j.cemconcomp.2011.01.008               ","  89","  6.36"," 3.205"
"57","SUH HK, 2016, RENEW SUST ENERG REV                                                                 ","10.1016/j.rser.2015.12.329                     ","  89","  9.89"," 2.223"
"58","QUACH M, 2019, IEEE IMAGE PROC                                                                     ","10.1109/icip.2019.8803413                      ","  88"," 14.67"," 4.075"
"59","CHEN SH, 2018, IEEE T SIGNAL PROCES                                                                ","10.1109/TSP.2017.2771730                       ","  87"," 12.43"," 3.998"
"60","DUNN RO, 1999, J AM OIL CHEM SOC                                                                   ","10.1007/s11746-999-0056-9                      ","  87","  3.35"," 1.808"
"61","TANG YC, 2022, STRUCTURES                                                                          ","10.1016/j.istruc.2021.12.055                   ","  83"," 27.67","18.967"
"62","MITCHELL K, 1993, INT J PHARM                                                                      ","10.1016/0378-5173(93)90085-T                   ","  81","  2.53"," 0.750"
"63","DANIELS J, 2007, IEEE INTERNATIONAL CONFERENCE ON SHAPE MODELING AND APPLICATIONS 2007, PROCEEDINGS","10.1109/SMI.2007.32                            ","  79","  4.39"," 0.728"
"64","DE QUEIROZ RL, 2017, IEEE T IMAGE PROCESS                                                          ","10.1109/TIP.2017.2707807                       ","  79","  9.88"," 4.392"
"65","ALEXIOU E, 2018, IEEE INT CON MULTI                                                                ","NA                                             ","  79"," 11.29"," 3.630"
"66","KARTHIKEYAN S, 2014, INDIAN J ENG MATER S                                                          ","NA                                             ","  78","  7.09"," 3.277"
"67","SANDERS RH, 1998, MON NOT R ASTRON SOC                                                             ","10.1046/j.1365-8711.1998.01127.x               ","  74","  2.74"," 2.581"
"68","HUGHEY JR, 2013, EUR J PHARM SCI                                                                   ","10.1016/j.ejps.2013.01.004                     ","  74","  6.17"," 1.352"
"69","MAGNUSSON M, 2009, J FIELD ROBOT                                                                   ","10.1002/rob.20314                              ","  71","  4.44"," 1.742"
"70","ANDRÉ P, 2016, ASTRON ASTROPHYS                                                                    ","10.1051/0004-6361/201628378                    ","  69","  7.67"," 1.723"
