"","Year   ","Articles"
"1","1987",1
"2","1991",1
"3","1996",1
"4","1997",1
"5","1998",1
"6","1999",2
"7","2001",1
"8","2003",1
"9","2004",3
"10","2006",1
"11","2008",3
"12","2009",1
"13","2010",3
"14","2011",2
"15","2013",5
"16","2014",6
"17","2015",7
"18","2016",11
"19","2017",5
"20","2018",13
"21","2019",21
"22","2020",8
"23","2021",19
"24","2022",21
"25","2023",24
