"","Country","Articles","Freq","SCP","MCP","MCP_Ratio"
"89","COSTA RICA     ","   1","0.000292","  1","  0","0.0000"
"90","FIJI           ","   1","0.000292","  1","  0","0.0000"
"91","GEORGIA        ","   1","0.000292","  1","  0","0.0000"
"92","GUATEMALA      ","   1","0.000292","  0","  1","1.0000"
"93","GUINEA         ","   1","0.000292","  0","  1","1.0000"
"94","KENYA          ","   1","0.000292","  0","  1","1.0000"
"95","KOSOVO         ","   1","0.000292","  0","  1","1.0000"
"96","MONTENEGRO     ","   1","0.000292","  1","  0","0.0000"
"97","MOZAMBIQUE     ","   1","0.000292","  1","  0","0.0000"
"98","NAMIBIA        ","   1","0.000292","  1","  0","0.0000"
"99","SENEGAL        ","   1","0.000292","  1","  0","0.0000"
"100","URUGUAY        ","   1","0.000292","  1","  0","0.0000"
