"","Paper         ","DOI","TC","TCperYear","NTC"
"72","SHAFFER CD, 2014, CBE-LIFE SCI EDUC     ","10.1187/cbe-13-08-0152            "," 123","11.18"," 8.59"
"73","SANTHANARN R, 2008, INFORM SYST RES     ","10.1287/isre.1070.0141            "," 122"," 7.18"," 6.42"
"74","LONG TT, 2017, J COMPUT HIGH EDUC       ","10.1007/s12528-016-9119-8         "," 119","14.88","13.95"
"75","AYRES KM, 2013, PSYCHOL SCHOOLS         ","10.1002/pits.21673                "," 119"," 9.92"," 5.13"
"76","SCHELLY C, 2015, J VISUAL LANG COMPUT   ","10.1016/j.jvlc.2015.01.004        "," 117","11.70"," 8.37"
"77","BAEK Y, 2008, COMPUT EDUC               ","10.1016/j.compedu.2006.05.002     "," 116"," 6.82"," 6.11"
"78","ILGEN JS, 2013, ACAD EMERG MED          ","10.1111/acem.12076                "," 115"," 9.58"," 4.96"
"79","ZOLLMAN DA, 2002, AM J PHYS             ","10.1119/1.1435347                 "," 114"," 4.96"," 5.12"
"80","BRILL JM, 2006, ETR&D-EDUC TECH RES     ","10.1007/s11423-006-8251-y         "," 114"," 6.00"," 3.82"
"81","WINN W, 2002, EDUC PSYCHOL REV          ","10.1023/A:1016068530070           "," 114"," 4.96"," 5.12"
"82","BEATTY ID, 2009, J SCI EDUC TECHNOL     ","10.1007/s10956-008-9140-4         "," 113"," 7.06"," 5.66"
"83","KEENGWE J, 2008, J SCI EDUC TECHNOL     ","10.1007/s10956-008-9123-5         "," 113"," 6.65"," 5.95"
"84","VAN GOG T, 2005, ETR&D-EDUC TECH RES    ","10.1007/BF02504799                "," 113"," 5.65"," 3.84"
"85","GRGUROVIC M, 2013, RECALL               ","10.1017/S0958344013000013         "," 112"," 9.33"," 4.83"
"86","MAYER RE, 2020, ETR&D-EDUC TECH RES     ","10.1007/s11423-020-09749-6        "," 112","22.40"," 9.42"
"87","WALKINGTON CA, 2013, J EDUC PSYCHOL     ","10.1037/a0031882                  "," 111"," 9.25"," 4.78"
"88","MORENO R, 2005, NEBR SYMP INF TECH E    ","NA                                "," 111"," 5.55"," 3.77"
"89","REISER RA, 2001, ETR&D-EDUC TECH RES    ","10.1007/BF02504928                "," 111"," 4.62"," 4.64"
"90","CHENG A, 2014, PEDIATRICS               ","10.1542/peds.2013-2139            "," 110","10.00"," 7.68"
"91","ZHANG RF, 2022, COMPUT ASSIST LANG L    ","10.1080/09588221.2020.1744666     "," 109","36.33","20.92"
"92","BROWN MG, 2016, INTERNET HIGH EDUC      ","10.1016/j.iheduc.2016.05.001      "," 108","12.00","10.42"
"93","DEMETRIADIS S, 2003, COMPUT EDUC        ","10.1016/S0360-1315(03)00012-5     "," 107"," 4.86"," 3.47"
"94","VONGKULLUKSN VW, 2018, COMPUT EDUC      ","10.1016/j.compedu.2017.11.009     "," 106","15.14","11.64"
"95","LINN MC, 2003, INT J SCI EDUC           ","10.1080/09500690305017            "," 104"," 4.73"," 3.37"
"96","CARBONARO M, 2008, MED TEACH            ","10.1080/01421590701753450         "," 102"," 6.00"," 5.37"
"97","BARROW L, 2009, AM ECON J-ECON POLIC    ","10.1257/pol.1.1.52                "," 101"," 6.31"," 5.06"
"98","KING AC, 2008, AM J PREV MED            ","10.1016/j.amepre.2007.09.025      "," 101"," 5.94"," 5.32"
"99","LANDERS RN, 2017, COMPUT HUM BEHAV      ","10.1016/j.chb.2015.07.031         "," 100","12.50","11.73"
"100","TESSMER M, 1997, ETR&D-EDUC TECH RES    ","10.1007/BF02299526                ","  99"," 3.54"," 3.26"
