"","Sources       ","Articles"
"73","REVIEW OF EDUCATIONAL RESEARCH                                                                      "," 10"
"74","2013 ASEE ANNUAL CONFERENCE                                                                         ","  9"
"75","7TH INTERNATIONAL TECHNOLOGY EDUCATION AND DEVELOPMENT CONFERENCE (INTED2013)                       ","  9"
"76","AMERICAN JOURNAL OF PHARMACEUTICAL EDUCATION                                                        ","  9"
"77","CIN-COMPUTERS INFORMATICS NURSING                                                                   ","  9"
"78","EDULEARN11: 3RD INTERNATIONAL CONFERENCE ON EDUCATION AND NEW LEARNING TECHNOLOGIES                 ","  9"
"79","EGITIM VE BILIM-EDUCATION AND SCIENCE                                                               ","  9"
"80","HIGHER EDUCATION                                                                                    ","  9"
"81","ICERI2016: 9TH INTERNATIONAL CONFERENCE OF EDUCATION RESEARCH AND INNOVATION                        ","  9"
"82","INTED2015: 9TH INTERNATIONAL TECHNOLOGY EDUCATION AND DEVELOPMENT CONFERENCE                        ","  9"
"83","WORLD CONFERENCE ON EDUCATIONAL SCIENCES - NEW TRENDS AND ISSUES IN EDUCATIONAL SCIENCES            ","  9"
"84","5TH INTERNATIONAL CONFERENCE OF EDUCATION RESEARCH AND INNOVATION (ICERI 2012)                      ","  8"
"85","6TH INTERNATIONAL CONFERENCE OF EDUCATION RESEARCH AND INNOVATION (ICERI 2013)                      ","  8"
"86","ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY                                                ","  8"
"87","ADAPTATION RESISTANCE AND ACCESS TO INSTRUCTIONAL TECHNOLOGIES: ASSESSING FUTURE TRENDS IN EDUCATION","  8"
"88","EDUCATIONAL & TRAINING TECHNOLOGY INTERNATIONAL                                                     ","  8"
"89","FRONTIERS IN EDUCATION                                                                              ","  8"
"90","INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION                                                 ","  8"
"91","INTERNATIONAL JOURNAL OF SCIENCE EDUCATION                                                          ","  8"
"92","LEARNING DISABILITY QUARTERLY                                                                       ","  8"
"93","MEDICAL TEACHER                                                                                     ","  8"
"94","TECHNOLOGY AND TEACHER EDUCATION ANNUAL 1995                                                        ","  8"
"95","2014 ASEE ANNUAL CONFERENCE                                                                         ","  7"
"96","ADVANCES IN PHYSIOLOGY EDUCATION                                                                    ","  7"
"97","ASIA-PACIFIC EDUCATION RESEARCHER                                                                   ","  7"
"98","BEHAVIOUR & INFORMATION TECHNOLOGY                                                                  ","  7"
"99","EDULEARN15: 7TH INTERNATIONAL CONFERENCE ON EDUCATION AND NEW LEARNING TECHNOLOGIES                 ","  7"
"100","EDULEARN18: 10TH INTERNATIONAL CONFERENCE ON EDUCATION AND NEW LEARNING TECHNOLOGIES                ","  7"
