"","Paper         ","DOI","TC","TCperYear","NTC"
"60","LI Z, 2018, KDD'18: PROCEEDINGS OF THE 24TH ACM SIGKDD INTERNATIONAL CONFERENCE ON KNOWLEDGE DISCOVERY & DATA MINING                  ","10.1145/3219819.3220014           "," 123"," 17.57"," 7.65"
"61","SINGH S, 2018, ENERGIES                                                                                                               ","10.3390/en11020452                "," 123"," 17.57"," 7.65"
"62","BOKDE D, 2015, PROCEDIA COMPUT SCI                                                                                                    ","10.1016/j.procs.2015.04.237       "," 121"," 12.10"," 9.33"
"63","SIERING M, 2018, DECIS SUPPORT SYST                                                                                                   ","10.1016/j.dss.2018.01.002         "," 120"," 17.14"," 7.46"
"64","ZHOU M, 2017, TRANSPORT RES C-EMER                                                                                                    ","10.1016/j.trc.2016.12.001         "," 119"," 14.88"," 8.94"
"65","KIEU LM, 2015, IEEE T INTELL TRANSP                                                                                                   ","10.1109/TITS.2014.2368998         "," 117"," 11.70"," 9.02"
"66","BERENDT B, 2000, VLDB J                                                                                                               ","10.1007/s007780050083             "," 116","  4.64"," 4.05"
"67","CURME C, 2014, P NATL ACAD SCI USA                                                                                                    ","10.1073/pnas.1324054111           "," 115"," 10.45"," 5.66"
"68","PALMISANO C, 2008, IEEE T KNOWL DATA EN                                                                                               ","10.1109/TKDE.2008.110             "," 114","  6.71"," 3.85"
"69","MALHOTRA A, 2012, 2012 IEEE/ACM INTERNATIONAL CONFERENCE ON ADVANCES IN SOCIAL NETWORKS ANALYSIS AND MINING (ASONAM)                  ","10.1109/ASONAM.2012.184           "," 111","  8.54"," 6.49"
"70","NAJAFABADI MK, 2017, COMPUT HUM BEHAV                                                                                                 ","10.1016/j.chb.2016.11.010         "," 108"," 13.50"," 8.12"
"71","SONG X, 2014, PROCEEDINGS OF THE 20TH ACM SIGKDD INTERNATIONAL CONFERENCE ON KNOWLEDGE DISCOVERY AND DATA MINING (KDD'14)             ","10.1145/2623330.2623628           "," 108","  9.82"," 5.31"
"72","ASSELBERGS J, 2016, J MED INTERNET RES                                                                                                ","10.2196/jmir.5505                 "," 108"," 12.00"," 7.25"
"73","GUO L, 2019, KDD'19: PROCEEDINGS OF THE 25TH ACM SIGKDD INTERNATIONAL CONFERENCCE ON KNOWLEDGE DISCOVERY AND DATA MINING-a            ","10.1145/3292500.3330839           "," 107"," 17.83"," 9.50"
"74","HE BJ, 2021, SUSTAIN CITIES SOC                                                                                                       ","10.1016/j.scs.2021.103361         "," 106"," 26.50","12.51"
"75","HUNG CC, 2015, VLDB J                                                                                                                 ","10.1007/s00778-011-0262-6         "," 105"," 10.50"," 8.09"
"76","LIU Q, 2016, IEEE DATA MINING                                                                                                         ","10.1109/ICDM.2016.13              "," 104"," 11.56"," 6.98"
"77","WANG T, 2017, J MACH LEARN RES                                                                                                        ","NA                                "," 104"," 13.00"," 7.81"
"78","KOSINSKI M, 2016, PSYCHOL METHODS                                                                                                     ","10.1037/met0000105                "," 104"," 11.56"," 6.98"
"79","ANDONE I, 2016, UBICOMP'16 ADJUNCT: PROCEEDINGS OF THE 2016 ACM INTERNATIONAL JOINT CONFERENCE ON PERVASIVE AND UBIQUITOUS COMPUTING  ","10.1145/2968219.2971451           "," 103"," 11.44"," 6.92"
"80","NASUKAWA T, 2001, IBM SYST J                                                                                                          ","10.1147/sj.404.0967               "," 103","  4.29"," 1.98"
"81","WANG WQ, 2015, KDD'15: PROCEEDINGS OF THE 21ST ACM SIGKDD INTERNATIONAL CONFERENCE ON KNOWLEDGE DISCOVERY AND DATA MINING             ","10.1145/2783258.2783335           "," 103"," 10.30"," 7.94"
"82","BAEZA-YATES R, 2007, KDD-2007 PROCEEDINGS OF THE THIRTEENTH ACM SIGKDD INTERNATIONAL CONFERENCE ON KNOWLEDGE DISCOVERY AND DATA MINING","NA                                "," 103","  5.72"," 8.89"
"83","LE GLAZ A, 2021, J MED INTERNET RES                                                                                                   ","10.2196/15708                     "," 102"," 25.50","12.04"
"84","KIM Y, 2014, WSDM'14: PROCEEDINGS OF THE 7TH ACM INTERNATIONAL CONFERENCE ON WEB SEARCH AND DATA MINING                               ","10.1145/2556195.2556220           "," 102","  9.27"," 5.02"
"85","STUMME G, 2006, J WEB SEMANT                                                                                                          ","10.1016/j.websem.2006.02.001      "," 101","  5.32"," 7.23"
"86","BESCHASTNIKH I, 2014, 36TH INTERNATIONAL CONFERENCE ON SOFTWARE ENGINEERING (ICSE 2014)                                               ","10.1145/2568225.2568246           "," 101","  9.18"," 4.97"
"87","ZOU LX, 2019, KDD'19: PROCEEDINGS OF THE 25TH ACM SIGKDD INTERNATIONAL CONFERENCCE ON KNOWLEDGE DISCOVERY AND DATA MINING             ","10.1145/3292500.3330668           "," 100"," 16.67"," 8.88"
"88","FAHLAND D, 2015, INFORM SYST                                                                                                          ","10.1016/j.is.2013.12.007          "," 100"," 10.00"," 7.71"
"89","PI Q, 2019, KDD'19: PROCEEDINGS OF THE 25TH ACM SIGKDD INTERNATIONAL CONFERENCCE ON KNOWLEDGE DISCOVERY AND DATA MINING               ","10.1145/3292500.3330666           ","  99"," 16.50"," 8.79"
"90","SACCHI L, 2007, DATA MIN KNOWL DISC                                                                                                   ","10.1007/s10618-007-0077-7         ","  99","  5.50"," 8.55"
"91","QIU JZ, 2016, PROCEEDINGS OF THE NINTH ACM INTERNATIONAL CONFERENCE ON WEB SEARCH AND DATA MINING (WSDM'16)                           ","10.1145/2835776.2835842           ","  98"," 10.89"," 6.58"
"92","XUE S, 2011, INT J COAL GEOL                                                                                                          ","10.1016/j.coal.2011.02.006        ","  98","  7.00"," 5.21"
"93","YIN HZ, 2014, SIGMOD'14: PROCEEDINGS OF THE 2014 ACM SIGMOD INTERNATIONAL CONFERENCE ON MANAGEMENT OF DATA                            ","10.1145/2588555.2593685           ","  97","  8.82"," 4.77"
"94","LIU X, 2016, MARKET SCI                                                                                                               ","10.1287/mksc.2015.0972            ","  97"," 10.78"," 6.51"
"95","WANG PL, 2003, J AM SOC INF SCI TEC                                                                                                   ","10.1002/asi.10262                 ","  96","  4.36"," 6.09"
"96","FLORES-JOHNSON EA, 2014, COMPOS SCI TECHNOL                                                                                           ","10.1016/j.compscitech.2014.03.001 ","  96","  8.73"," 4.72"
"97","SCHLECHTINGEN M, 2014, APPL SOFT COMPUT                                                                                               ","10.1016/j.asoc.2013.09.016        ","  96","  8.73"," 4.72"
"98","ADAMOPOULOS P, 2018, INFORM SYST RES                                                                                                  ","10.1287/isre.2017.0768            ","  95"," 13.57"," 5.91"
"99","YANG C, 2017, ACM T INFORM SYST                                                                                                       ","10.1145/3041658                   ","  94"," 11.75"," 7.06"
"100","ZHAO J, 2019, KDD'19: PROCEEDINGS OF THE 25TH ACM SIGKDD INTERNATIONAL CONFERENCCE ON KNOWLEDGE DISCOVERY AND DATA MINING             ","10.1145/3292500.3330686           ","  94"," 15.67"," 8.34"
