"","Sources       ","Articles"
"55","2018 IEEE INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND VIRTUAL REALITY (AIVR)                                                                           ","  9"
"56","AUGMENTED REALITY VIRTUAL REALITY AND COMPUTER GRAPHICS PT I                                                                                                       ","  9"
"57","CHI'20: EXTENDED ABSTRACTS OF THE 2020 CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS                                                                        ","  9"
"58","FOURTH INTERNATIONAL CONFERENCE ON VIRTUAL REALITY AND ITS APPLICATIONS IN INDUSTRY                                                                                ","  9"
"59","IEEE VIRTUAL REALITY 2009 PROCEEDINGS                                                                                                                              ","  9"
"60","INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES                                                                                                                    ","  9"
"61","MEDICINE MEETS VIRTUAL REALITY 16: PARALLEL COMBINATORIAL CONVERGENT: NEXTMED BY DESIGN                                                                            ","  9"
"62","VIRTUAL AUGMENTED AND MIXED REALITY: APPLICATIONS IN HEALTH CULTURAL HERITAGE AND INDUSTRY PT II: 10TH INTERNATIONAL CONFERENCE VAMR 2018 PT II                    ","  9"
"63","VRIC'16: PROCEEDINGS OF THE 2016 VIRTUAL REALITY INTERNATIONAL CONFERENCE                                                                                          ","  9"
"64","2016 18TH SYMPOSIUM ON VIRTUAL AND AUGMENTED REALITY (SVR 2016)                                                                                                    ","  8"
"65","2017 19TH SYMPOSIUM ON VIRTUAL AND AUGMENTED REALITY (SVR)                                                                                                         ","  8"
"66","2018 3RD DIGITAL HERITAGE INTERNATIONAL CONGRESS (DIGITALHERITAGE) HELD JOINTLY WITH 2018 24TH INTERNATIONAL CONFERENCE ON VIRTUAL SYSTEMS & MULTIMEDIA (VSMM 2018)","  8"
"67","2018 8TH INTERNATIONAL CONFERENCE ON VIRTUAL REALITY AND VISUALIZATION (ICVRV)                                                                                     ","  8"
"68","2021 7TH INTERNATIONAL CONFERENCE OF THE IMMERSIVE LEARNING RESEARCH NETWORK (ILRN)                                                                                ","  8"
"69","2022 IEEE INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND VIRTUAL REALITY (AIVR)                                                                           ","  8"
"70","2022 IEEE INTERNATIONAL SYMPOSIUM ON MIXED AND AUGMENTED REALITY (ISMAR 2022)                                                                                      ","  8"
"71","ADVANCED SCIENCE LETTERS                                                                                                                                           ","  8"
"72","AUGMENTED REALITY AND VIRTUAL REALITY: EMPOWERING HUMAN PLACE AND BUSINESS                                                                                         ","  8"
"73","COMPUTERS IN INDUSTRY                                                                                                                                              ","  8"
"74","CYBERPSYCHOLOGY BEHAVIOR AND SOCIAL NETWORKING                                                                                                                     ","  8"
"75","EDUCATION AND INFORMATION TECHNOLOGIES                                                                                                                             ","  8"
"76","ELECTRONICS                                                                                                                                                        ","  8"
"77","INTERACTIVE LEARNING ENVIRONMENTS                                                                                                                                  ","  8"
"78","INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS                                                                                                ","  8"
"79","JOURNAL OF BUSINESS RESEARCH                                                                                                                                       ","  8"
"80","PROCEEDINGS OF THE 2017 23RD INTERNATIONAL CONFERENCE ON VIRTUAL SYSTEM AND MULTIMEDIA (VSMM)                                                                      ","  8"
"81","VIRTUAL AUGMENTED AND MIXED REALITY: MULTIMODAL INTERACTION PT I                                                                                                   ","  8"
"82","2013 IEEE VIRTUAL REALITY CONFERENCE (VR)                                                                                                                          ","  7"
"83","2017 INTERNATIONAL CONFERENCE ON VIRTUAL REALITY AND VISUALIZATION (ICVRV 2017)                                                                                    ","  7"
"84","AUGMENTED REALITY VIRTUAL REALITY AND COMPUTER GRAPHICS AVR 2018 PT I                                                                                              ","  7"
"85","CHI 2018: EXTENDED ABSTRACTS OF THE 2018 CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS                                                                      ","  7"
"86","CLINICAL SIMULATION IN NURSING                                                                                                                                     ","  7"
"87","COMPUTERS IN BIOLOGY AND MEDICINE                                                                                                                                  ","  7"
"88","DISABILITY AND REHABILITATION                                                                                                                                      ","  7"
"89","EDUCATION SCIENCES                                                                                                                                                 ","  7"
"90","IEEE TRANSACTIONS ON NEURAL SYSTEMS AND REHABILITATION ENGINEERING                                                                                                 ","  7"
"91","IEEE VIRTUAL REALITY 2010 PROCEEDINGS                                                                                                                              ","  7"
"92","INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE VIRTUAL REALITY AND VISUALIZATION (AIVRV 2021)                                                                 ","  7"
"93","INTERNATIONAL JOURNAL OF EMERGING TECHNOLOGIES IN LEARNING                                                                                                         ","  7"
"94","JOURNAL OF PHYSICAL THERAPY SCIENCE                                                                                                                                ","  7"
"95","PROCEEDINGS OF THE 2018 CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS (CHI 2018)                                                                            ","  7"
"96","PROCEEDINGS VRCAI 2016: 15TH ACM SIGGRAPH CONFERENCE ON VIRTUAL-REALITY CONTINUUM AND ITS APPLICATIONS IN INDUSTRY                                                 ","  7"
"97","THIRD INTERNATIONAL CONFERENCE ON VIRTUAL REALITY AND ITS APPLICATION IN INDUSTRY                                                                                  ","  7"
"98","17TH ACM SIGGRAPH INTERNATIONAL CONFERENCE ON VIRTUAL-REALITY CONTINUUM AND ITS APPLICATIONS IN INDUSTRY (VRCAI 2019)                                              ","  6"
"99","2015 XVII SYMPOSIUM ON VIRTUAL AND AUGMENTED REALITY                                                                                                               ","  6"
"100","2019 11TH INTERNATIONAL CONFERENCE ON VIRTUAL WORLDS AND GAMES FOR SERIOUS APPLICATIONS (VS-GAMES)                                                                 ","  6"
