"Year","Articles","MeanTCperArt","MeanTCperYear"
1957,1,0,0
1958,0,0,0
1959,0,0,0
1960,0,0,0
1961,0,0,0
1962,0,0,0
1963,0,0,0
1964,0,0,0
1965,0,0,0
1966,0,0,0
1967,0,0,0
1968,1,3,0.0535714285714286
1969,0,0,0
1970,0,0,0
1971,3,16,0.30188679245283
1972,0,0,0
1973,0,0,0
1974,1,12,0.24
1975,0,0,0
1976,0,0,0
1977,0,0,0
1978,1,9,0.195652173913043
1979,0,0,0
1980,2,7.5,0.170454545454545
1981,2,1.5,0.0348837209302326
1982,1,26,0.619047619047619
1983,0,0,0
1984,0,0,0
1985,6,20,0.512820512820513
1986,2,35,0.921052631578947
1987,0,0,0
1988,1,4,0.111111111111111
1989,6,54.5,1.55714285714286
1990,4,17.25,0.507352941176471
1991,11,74.8181818181818,2.26721763085399
1992,22,72.6363636363636,2.26988636363636
1993,27,38.1851851851852,1.23178016726404
1994,32,41.84375,1.39479166666667
1995,32,84.25,2.9051724137931
1996,34,79.5882352941176,2.84243697478992
1997,48,35.7708333333333,1.32484567901235
1998,45,51.3333333333333,1.97435897435897
1999,50,64.32,2.5728
2000,42,105.47619047619,4.39484126984127
2001,65,69.6615384615385,3.02876254180602
2002,59,77.4576271186441,3.52080123266564
2003,59,52.7118644067797,2.51008878127522
2004,83,71.5421686746988,3.57710843373494
2005,88,55.8636363636364,2.94019138755981
2006,104,57.1442307692308,3.17467948717949
2007,112,45.625,2.68382352941176
2008,148,38.0878378378379,2.38048986486487
2009,135,36.2740740740741,2.41827160493827
2010,159,43.9119496855346,3.13656783468104
2011,168,27.1190476190476,2.08608058608059
2012,182,29.6318681318681,2.46932234432234
2013,236,26.8728813559322,2.44298921417566
2014,193,23.2072538860104,2.32072538860104
2015,197,29.6954314720812,3.2994923857868
2016,218,26.1422018348624,3.2677752293578
2017,215,21.093023255814,3.01328903654485
2018,243,17.7818930041152,2.9636488340192
2019,337,12.9258160237389,2.58516320474777
2020,355,9.23380281690141,2.30845070422535
2021,378,6.01058201058201,2.00352733686067
2022,421,3.17814726840855,1.58907363420428
2023,413,0.796610169491525,0.796610169491525
