"","Sources       ","Articles"
"68","IFAC PAPERSONLINE                                                                                                        "," 8"
"69","INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS                                                      "," 8"
"70","PATTERN RECOGNITION                                                                                                      "," 8"
"71","PATTERN RECOGNITION LETTERS                                                                                              "," 8"
"72","PROCEEDINGS OF THE 31ST AUSTRALIAN CONFERENCE ON HUMAN-COMPUTER-INTERACTION (OZCHI'19)                                   "," 8"
"73","PROCEEDINGS OF THE NORDICHI '16: THE 9TH NORDIC CONFERENCE ON HUMAN-COMPUTER INTERACTION - GAME CHANGING DESIGN          "," 8"
"74","PROCEEDINGS OF THE NORDICHI'14: THE 8TH NORDIC CONFERENCE ON HUMAN-COMPUTER INTERACTION: FUN FAST FOUNDATIONAL           "," 8"
"75","2023 IEEE CONFERENCE ON VIRTUAL REALITY AND 3D USER INTERFACES ABSTRACTS AND WORKSHOPS VRW                               "," 7"
"76","APPLIED ERGONOMICS                                                                                                       "," 7"
"77","COMPUTERS & EDUCATION                                                                                                    "," 7"
"78","COMPUTERS & GRAPHICS-UK                                                                                                  "," 7"
"79","HCI INTERNATIONAL 2015 - POSTERS' EXTENDED ABSTRACTS PT I                                                                "," 7"
"80","HUMAN-COMPUTER INTERACTION - INTERACT 2011 PT IV                                                                         "," 7"
"81","HUMAN-COMPUTER INTERACTION - INTERACT 2015 PT IV                                                                         "," 7"
"82","HUMAN-COMPUTER INTERACTION PT III: AMBIENT UBIQUITOUS AND INTELLIGENT INTERACTION                                        "," 7"
"83","HUMAN-COMPUTER INTERACTION: DESIGN AND EVALUATION PT I                                                                   "," 7"
"84","HUMAN-COMPUTER INTERACTION: TECHNOLOGICAL INNOVATION PT II                                                               "," 7"
"85","HUMAN-COMPUTER INTERACTION: THEORETICAL APPROACHES AND DESIGN METHODS PT I                                               "," 7"
"86","HUMAN-COMPUTER INTERACTION: THEORIES METHODS AND TOOLS PT I                                                              "," 7"
"87","HUMAN-COMPUTER INTERACTION: TOWARDS MOBILE AND INTELLIGENT INTERACTION ENVIRONMENTS PT III                               "," 7"
"88","ICMI '12: PROCEEDINGS OF THE ACM INTERNATIONAL CONFERENCE ON MULTIMODAL INTERACTION                                      "," 7"
"89","IEEE ROBOTICS AND AUTOMATION LETTERS                                                                                     "," 7"
"90","IEEE SENSORS JOURNAL                                                                                                     "," 7"
"91","IEICE TRANSACTIONS ON INFORMATION AND SYSTEMS                                                                            "," 7"
"92","INTERNATIONAL JOURNAL OF ADVANCED ROBOTIC SYSTEMS                                                                        "," 7"
"93","JOURNAL OF AMBIENT INTELLIGENCE AND HUMANIZED COMPUTING                                                                  "," 7"
"94","KNOWLEDGE-BASED SYSTEMS                                                                                                  "," 7"
"95","PROCEEDINGS OF THE 2020 CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS (CHI'20)                                    "," 7"
"96","PROCEEDINGS OF THE 2022 17TH ACM/IEEE INTERNATIONAL CONFERENCE ON HUMAN-ROBOT INTERACTION (HRI '22)                      "," 7"
"97","PROCEEDINGS OF THE 5TH ACM/IEEE INTERNATIONAL CONFERENCE ON HUMAN-ROBOT INTERACTION (HRI 2010)                           "," 7"
"98","SOFT COMPUTING                                                                                                           "," 7"
"99","29TH ANNUAL CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS                                                         "," 6"
"100","6TH INTERNATIONAL CONFERENCE ON APPLIED HUMAN FACTORS AND ERGONOMICS (AHFE 2015) AND THE AFFILIATED CONFERENCES AHFE 2015"," 6"
