"","Sources       ","Articles"
"79","2020 IEEE 22ND INTERNATIONAL WORKSHOP ON MULTIMEDIA SIGNAL PROCESSING (MMSP)                ","  8"
"80","2020 IEEE INTERNATIONAL CONFERENCE ON VISUAL COMMUNICATIONS AND IMAGE PROCESSING (VCIP)     ","  8"
"81","2022 41ST CHINESE CONTROL CONFERENCE (CCC)                                                  ","  8"
"82","JOURNAL OF INTELLIGENT & FUZZY SYSTEMS                                                      ","  8"
"83","JOURNAL OF SURFACTANTS AND DETERGENTS                                                       ","  8"
"84","MM '20: PROCEEDINGS OF THE 28TH ACM INTERNATIONAL CONFERENCE ON MULTIMEDIA                  ","  8"
"85","TENSIDE SURFACTANTS DETERGENTS                                                              ","  8"
"86","XXII ISPRS CONGRESS TECHNICAL COMMISSION III                                                ","  8"
"87","XXIII ISPRS CONGRESS COMMISSION I                                                           ","  8"
"88","2020 TWELFTH INTERNATIONAL CONFERENCE ON QUALITY OF MULTIMEDIA EXPERIENCE (QOMEX)           ","  7"
"89","2022 10TH EUROPEAN WORKSHOP ON VISUAL INFORMATION PROCESSING (EUVIP)                        ","  7"
"90","27TH CIPA INTERNATIONAL SYMPOSIUM: DOCUMENTING THE PAST FOR A BETTER FUTURE                 ","  7"
"91","BUILDINGS                                                                                   ","  7"
"92","EXPERT SYSTEMS WITH APPLICATIONS                                                            ","  7"
"93","IEEE MMSP 2021: 2021 IEEE 23RD INTERNATIONAL WORKSHOP ON MULTIMEDIA SIGNAL PROCESSING (MMSP)","  7"
"94","IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS                                   ","  7"
"95","JOURNAL OF IMAGING                                                                          ","  7"
"96","KNOWLEDGE-BASED SYSTEMS                                                                     ","  7"
"97","NEURAL COMPUTING & APPLICATIONS                                                             ","  7"
"98","OPTICAL ENGINEERING                                                                         ","  7"
"99","SENSORS AND MATERIALS                                                                       ","  7"
"100","2014 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM (IGARSS)                    ","  6"
