"","Paper         ","DOI","TC","TCperYear","NTC"
"63","RUSU RB, 2008, IAS-10: INTELLIGENT AUTONOMOUS SYSTEMS 10                                                     ","10.3233/978-1-58003-887-8-119            "," 118","  6.94","  2.58"
"64","KIM P, 2018, AUTOMAT CONSTR                                                                                  ","10.1016/j.autcon.2018.01.009             "," 117"," 16.71","  7.45"
"65","DIMITROV A, 2015, AUTOMAT CONSTR                                                                             ","10.1016/j.autcon.2014.12.015             "," 115"," 11.50","  6.57"
"66","GRAZIOSI D, 2020, APSIPA TRANS SIGNAL                                                                        ","10.1017/ATSIP.2020.12                    "," 115"," 23.00"," 10.71"
"67","LIU WP, 2019, SENSORS-BASEL                                                                                  ","10.3390/s19194188                        "," 114"," 19.00","  6.42"
"68","SAMADDAR P, 2014, J IND ENG CHEM                                                                             ","10.1016/j.jiec.2013.10.033               "," 113"," 10.27","  7.96"
"69","RAKOTOSAONA MJ, 2020, COMPUT GRAPH FORUM                                                                     ","10.1111/cgf.13753                        "," 111"," 22.20"," 10.33"
"70","COMBA L, 2018, COMPUT ELECTRON AGR                                                                           ","10.1016/j.compag.2018.10.005             "," 110"," 15.71","  7.00"
"71","DEMARSIN K, 2007, COMPUT AIDED DESIGN                                                                        ","10.1016/j.cad.2006.12.005                "," 109","  6.06","  1.67"
"72","FRITZ A, 2013, INT ARCH PHOTOGRAMM                                                                           ","NA                                       "," 109","  9.08","  5.46"
"73","YANG BS, 2016, ISPRS J PHOTOGRAMM                                                                            ","10.1016/j.isprsjprs.2015.12.005          "," 108"," 12.00","  7.33"
"74","CHEN MY, 2019, OPT LASER ENG                                                                                 ","10.1016/j.optlaseng.2019.06.011          "," 107"," 17.83","  6.02"
"75","YUE XY, 2018, ICMR '18: PROCEEDINGS OF THE 2018 ACM INTERNATIONAL CONFERENCE ON MULTIMEDIA RETRIEVAL         ","10.1145/3206025.3206080                  "," 107"," 15.29","  6.81"
"76","HUIBERS PDT, 1997, J COLLOID INTERF SCI                                                                      ","10.1006/jcis.1997.5053                   "," 107","  3.82","  2.80"
"77","DA SILVA RC, 1998, J COLLOID INTERF SCI                                                                      ","10.1006/jcis.1998.5456                   "," 104","  3.85","  2.90"
"78","HERMOSILLA P, 2018, ACM T GRAPHIC                                                                            ","10.1145/3272127.3275110                  "," 104"," 14.86","  6.62"
"79","ZHANG JY, 2019, IEEE ACCESS                                                                                  ","10.1109/ACCESS.2019.2958671              "," 104"," 17.33","  5.85"
"80","OJEDA CB, 2012, MICROCHIM ACTA                                                                               ","10.1007/s00604-011-0717-x                "," 104","  8.00","  7.75"
"81","REBOLJ D, 2017, AUTOMAT CONSTR                                                                               ","10.1016/j.autcon.2017.09.021             "," 103"," 12.88","  5.06"
"82","HE Y, 2017, SENSORS-BASEL                                                                                    ","10.3390/s17081862                        "," 102"," 12.75","  5.01"
"83","JOCHEM A, 2009, SENSORS-BASEL                                                                                ","10.3390/s90705241                        "," 101","  6.31","  4.88"
"84","KULICHENKO SA, 2003, TALANTA                                                                                 ","10.1016/S0039-9140(02)00617-3            "," 100","  4.55","  2.36"
"85","BURT A, 2019, METHODS ECOL EVOL                                                                              ","10.1111/2041-210X.13121                  ","  98"," 16.33","  5.52"
"86","YOU HX, 2018, PROCEEDINGS OF THE 2018 ACM MULTIMEDIA CONFERENCE (MM'18)                                      ","10.1145/3240508.3240702                  ","  98"," 14.00","  6.24"
"87","RIVEIRO B, 2016, AUTOMAT CONSTR                                                                              ","10.1016/j.autcon.2016.02.009             ","  98"," 10.89","  6.65"
"88","PIERDICCA R, 2020, REMOTE SENS-BASEL                                                                         ","10.3390/rs12061005                       ","  96"," 19.20","  8.94"
"89","BUSTOS AP, 2018, IEEE T PATTERN ANAL                                                                         ","10.1109/TPAMI.2017.2773482               ","  96"," 13.71","  6.11"
