"","Paper         ","DOI","TC","TCperYear","NTC"
"46","ROSPIGLIOSI P, 2022, INTERACT LEARN ENVIR                                                                                                        ","10.1080/10494820.2022.2022899  "," 51"," 17.00"," 5.78"
"47","SHIN D, 2022, COMPUT HUM BEHAV                                                                                                                   ","10.1016/j.chb.2022.107292      "," 50"," 16.67"," 5.67"
"48","KOZINETS RV, 2023, J SERV MANAGE                                                                                                                 ","10.1108/JOSM-12-2021-0481      "," 49"," 24.50","19.03"
"49","GAO S, 2023, SIGNAL PROCESS                                                                                                                      ","10.1016/j.sigpro.2022.108745   "," 48"," 24.00","18.64"
"50","ESTUDANTE A, 2020, J CHEM EDUC                                                                                                                   ","10.1021/acs.jchemed.9b00933    "," 48","  9.60"," 1.90"
"51","DEVECI M, 2022, IEEE T INTELL TRANSP                                                                                                             ","10.1109/TITS.2022.3186294      "," 45"," 15.00"," 5.10"
"52","PETRIGNA L, 2022, J FUNCT MORPHOL KIN                                                                                                            ","10.3390/jfmk7030063            "," 45"," 15.00"," 5.10"
"53","LEE H, 2022, APPL SCI-BASEL                                                                                                                      ","10.3390/app12052667            "," 44"," 14.67"," 4.99"
"54","TANG FX, 2023, IEEE WIREL COMMUN                                                                                                                 ","10.1109/MWC.019.2100721        "," 44"," 22.00","17.09"
"55","TAN TM, 2023, J BUS ETHICS                                                                                                                       ","10.1007/s10551-021-05015-8     "," 43"," 21.50","16.70"
"56","KOO H, 2021, J EDUC EVAL HEALTH P                                                                                                                ","10.3352/jeehp.2021.18.33       "," 43"," 10.75"," 2.53"
"57","MAKRANSKY G, 2022, EDUC PSYCHOL REV                                                                                                              ","10.1007/s10648-022-09675-4     "," 41"," 13.67"," 4.65"
"58","HUYNH-THE T, 2023, FUTURE GENER COMP SY                                                                                                          ","10.1016/j.future.2023.02.008   "," 41"," 20.50","15.92"
"59","OH HJ, 2023, COMPUT HUM BEHAV                                                                                                                    ","10.1016/j.chb.2022.107498      "," 41"," 20.50","15.92"
"60","WANG G, 2022, NAT MACH INTELL                                                                                                                    ","10.1038/s42256-022-00549-6     "," 41"," 13.67"," 4.65"
"61","TAN TF, 2022, ASIA-PAC J OPHTHALMO                                                                                                               ","10.1097/APO.0000000000000537   "," 41"," 13.67"," 4.65"
"62","USMANI SS, 2022, GEN PSYCHIAT                                                                                                                    ","10.1136/gpsych-2022-100825     "," 41"," 13.67"," 4.65"
"63","LEE H, 2022, SUSTAINABILITY-BASEL                                                                                                                ","10.3390/su14084786             "," 41"," 13.67"," 4.65"
"64","HUYNH-THE T, 2023, ENG APPL ARTIF INTEL                                                                                                          ","10.1016/j.engappai.2022.105581 "," 40"," 20.00","15.54"
"65","PARK S, 2022, SUSTAINABILITY-BASEL                                                                                                               ","10.3390/su14031361             "," 40"," 13.33"," 4.54"
"66","JOY A, 2022, STRATEG CHANG                                                                                                                       ","10.1002/jsc.2502               "," 40"," 13.33"," 4.54"
"67","KOO C, 2023, CURR ISSUES TOUR                                                                                                                    ","10.1080/13683500.2022.2122781  "," 39"," 19.50","15.15"
"68","ZHOU YH, 2022, JOULE                                                                                                                             ","10.1016/j.joule.2022.06.011    "," 38"," 12.67"," 4.31"
"69","RIVA G, 2022, CYBERPSYCH BEH SOC N                                                                                                               ","10.1089/cyber.2022.0124        "," 38"," 12.67"," 4.31"
"70","DEVECI M, 2023, IEEE T FUZZY SYST                                                                                                                ","10.1109/TFUZZ.2022.3190613     "," 38"," 19.00","14.76"
"71","BUHALIS DT, 2023, INT J CONTEMP HOSP M                                                                                                           ","10.1108/IJCHM-04-2022-0497     "," 37"," 18.50","14.37"
"72","HUYNH DV, 2022, IEEE WIREL COMMUN LE                                                                                                             ","10.1109/LWC.2022.3179207       "," 37"," 12.33"," 4.20"
"73","TAN TM, 2023, J ACAD MARKET SCI                                                                                                                  ","10.1007/s11747-022-00889-0     "," 36"," 18.00","13.98"
"74","RYSKELDIEV B, 2018, ACM INT CONF PR SER                                                                                                          ","10.1145/3174910.3174952        "," 35","  5.00"," 1.02"
"75","ZHANG XL, 2022, FRONT PSYCHOL                                                                                                                    ","10.3389/fpsyg.2022.1016300     "," 34"," 11.33"," 3.86"
"76","WU TC, 2023, AUSTRALAS EMERG CARE                                                                                                                ","10.1016/j.auec.2022.08.002     "," 33"," 16.50","12.82"
"77","GO H, 2023, TOUR REV                                                                                                                             ","10.1108/TR-02-2022-0102        "," 33"," 16.50","12.82"
"78","GOLF-PAPEZ M, 2022, BUS HORIZONS                                                                                                                 ","10.1016/j.bushor.2022.07.007   "," 33"," 11.00"," 3.74"
"79","DEVECI M, 2022, COMPUT IND ENG                                                                                                                   ","10.1016/j.cie.2022.108773      "," 33"," 11.00"," 3.74"
"80","LEE SG, 2011, SERV BUS                                                                                                                           ","10.1007/s11628-011-0108-8      "," 32","  2.29"," 4.21"
"81","FU YC, 2023, IEEE INTERNET THINGS                                                                                                                ","10.1109/JIOT.2022.3222521      "," 32"," 16.00","12.43"
"82","BOULOS MNK, 2007, INT J HEALTH GEOGR                                                                                                             ","10.1186/1476-072X-6-51         "," 31","  1.72"," 2.51"
"83","BANSAL G, 2022, IEEE ACCESS                                                                                                                      ","10.1109/ACCESS.2022.3219845    "," 31"," 10.33"," 3.52"
"84","XU MR, 2023, IEEE COMMUN SURV TUT                                                                                                                ","10.1109/COMST.2022.3221119     "," 31"," 15.50","12.04"
"85","CHENGODEN R, 2023, IEEE ACCESS                                                                                                                   ","10.1109/ACCESS.2023.3241628    "," 31"," 15.50","12.04"
"86","SHISHEHGARKHANEH MB, 2022, BUILDINGS-BASEL                                                                                                       ","10.3390/buildings12101503      "," 30"," 10.00"," 3.40"
"87","BOULOS MNK, 2008, INT J HEALTH GEOGR                                                                                                             ","10.1186/1476-072X-7-38         "," 30","  1.76"," 1.17"
"88","WANG YT, 2023, IEEE COMMUN SURV TUT                                                                                                              ","10.1109/COMST.2022.3202047     "," 30"," 15.00","11.65"
"89","LV ZH, 2022, PATTERNS                                                                                                                            ","10.1016/j.patter.2022.100468   "," 30"," 10.00"," 3.40"
"90","CAO LB, 2022, IEEE INTELL SYST                                                                                                                   ","10.1109/MIS.2022.3181504       "," 30"," 10.00"," 3.40"
"91","LIU Z, 2022, INT J ENV RES PUB HE                                                                                                                ","10.3390/ijerph19031525         "," 29","  9.67"," 3.29"
"92","TAN TM, 2022, TECHNOL FORECAST SOC                                                                                                               ","10.1016/j.techfore.2021.121432 "," 29","  9.67"," 3.29"
"93","DAHAN NA, 2022, ELECTRONICS-SWITZ                                                                                                                ","10.3390/electronics11101616    "," 29","  9.67"," 3.29"
"94","MOURTZIS D, 2022, J MANUF SYST                                                                                                                   ","10.1016/j.jmsy.2022.11.004     "," 29","  9.67"," 3.29"
"95","LE XH, 2022, ADV SCI                                                                                                                             ","10.1002/advs.202201056         "," 28","  9.33"," 3.18"
"96","LEE UK, 2022, J THEOR APPL EL COMM                                                                                                               ","10.3390/jtaer17020032          "," 28","  9.33"," 3.18"
"97","ABURBEIAN AM, 2022, AI-BASEL                                                                                                                     ","10.3390/ai3020018              "," 28","  9.33"," 3.18"
"98","BARRY DM, 2015, PROCEDIA COMPUT SCI                                                                                                              ","10.1016/j.procs.2015.08.181    "," 28","  2.80"," 2.55"
"99","BIBRI SE, 2022, SMART CITIES-BASEL                                                                                                               ","10.3390/smartcities5030043     "," 28","  9.33"," 3.18"
"100","NJOKU JN, 2023, IET INTELL TRANSP SY                                                                                                             ","10.1049/itr2.12252             "," 28"," 14.00","10.88"
