"","Paper         ","DOI","TC","TCperYear","NTC"
"74","FILVÀ DA, 2019, FUTURE GENER COMP SY         ","10.1016/j.future.2018.10.057    ","  34","  5.67","1.2583"
"75","GOIC M, 2021, PLOS ONE                       ","10.1371/journal.pone.0245272    ","  34","  8.50","2.0565"
"76","XING WL, 2019, DISTANCE EDUC                 ","10.1080/01587919.2018.1553560   ","  32","  5.33","1.1843"
"77","MORGENSTERN JD, 2020, BMJ OPEN               ","10.1136/bmjopen-2020-037860     ","  32","  6.40","1.7271"
"78","WANG JK, 2018, BMC MED EDUC                  ","10.1186/s12909-018-1385-x       ","  32","  4.57","1.3480"
"79","COHEN A, 2019, BRIT J EDUC TECHNOL           ","10.1111/bjet.12670              ","  31","  5.17","1.1473"
"80","QIN F, 2020, INT J ENV RES PUB HE            ","10.3390/ijerph17165639          ","  31","  6.20","1.6732"
"81","JASPERT D, 2021, J CLEAN PROD                ","10.1016/j.jclepro.2021.127555   ","  31","  7.75","1.8750"
"82","KENT ML, 2011, PUBLIC RELAT REV              ","10.1016/j.pubrev.2011.09.011    ","  30","  2.14","1.2821"
"83","GASEVIC D, 2017, COMPUT HUM BEHAV            ","10.1016/j.chb.2016.10.026       ","  30","  3.75","1.1898"
"84","JANKOWSKI P, 2019, ENVIRON PLAN B-URBAN      ","10.1177/2399808317719709        ","  30","  5.00","1.1103"
"85","WANG X, 2021, J CONSUM RES                   ","10.1093/jcr/ucab012             ","  29","  7.25","1.7540"
"86","ZAMITH R, 2020, NEW MEDIA SOC                ","10.1177/1461444819881735        ","  28","  5.60","1.5112"
"87","[ANONYMOUS], 2018, FOUND TRENDS INF RET      ","10.1561/1500000062              ","  28","  4.00","1.1795"
"88","CHEN CM, 2018, SCIENTOMETRICS                ","10.1007/s11192-017-2594-5       ","  28","  4.00","1.1795"
"89","ARGHITTU A, 2021, INT J ENV RES PUB HE       ","10.3390/ijerph18115642          ","  28","  7.00","1.6935"
"90","ALIPOUR M, 2020, J CIV STRUCT HEALTH         ","10.1007/s13349-020-00386-4      ","  27","  5.40","1.4573"
"91","MOHANTA BK, 2022, J INTELL FUZZY SYST        ","10.3233/JIFS-189743             ","  27","  9.00","3.3119"
"92","LOUKIS E, 2012, ELECTRON COMMER R A          ","10.1016/j.elerap.2011.12.004    ","  26","  2.00","0.0502"
"93","MEJIA C, 2017, IEEE T LEARN TECHNOL          ","10.1109/TLT.2016.2626292        ","  26","  3.25","1.0312"
"94","DO NASCIMENTO IB JR, 2021, J MED INTERNET RES","10.2196/27275                   ","  26","  6.50","1.5726"
"95","ZHANG C, 2020, COMPUT-AIDED CIV INF          ","10.1111/mice.12576              ","  26","  5.20","1.4033"
"96","HAHN U, 2012, BRIEF BIOINFORM                ","10.1093/bib/bbs018              ","  26","  2.00","0.0502"
"97","IQBAL U, 2016, COMPUT METH PROG BIO          ","10.1016/j.cmpb.2016.01.009      ","  26","  2.89","0.6118"
"98","ROCHE CC, 2018, CIN-COMPUT INFORM NU         ","10.1097/CIN.0000000000000455    ","  25","  3.57","1.0532"
"99","XING YF, 2022, TECHNOL SOC                   ","10.1016/j.techsoc.2022.101902   ","  25","  8.33","3.0665"
"100","SHEN TS, 2021, J ARTHROPLASTY                ","10.1016/j.arth.2020.10.024      ","  25","  6.25","1.5121"
